1 type
99.0039 -115.234 2611.43
99.0055 -115.23 2611.47
99.011 -115.215 2611.62
100 -115.311 2639.1
100.001 -115.311 2639.13
100.002 -115.307 2639.17
100.003 -115.339 2639.19
100.005 -115.355 2639.25
100.01 -115.297 2639.39
100.014 -115.301 2639.49
101 -115.405 2666.88
101.001 -115.438 2666.9
101.002 -115.415 2666.92
101.003 -115.434 2666.96
101.007 -115.394 2667.06
101.011 -115.41 2667.19
101.014 -115.405 2667.25
102 -115.506 2694.66
102.001 -115.503 2694.69
102.002 -115.485 2694.71
102.003 -115.505 2694.74
102.007 -115.498 2694.85
102.012 -115.511 2694.98
102.018 -115.505 2695.15
103 -115.601 2722.44
103.001 -115.619 2722.46
103.002 -115.565 2722.5
103.003 -115.603 2722.52
103.005 -115.578 2722.57
103.009 -115.601 2722.7
103.016 -115.585 2722.88
104 -115.707 2750.22
104.001 -115.67 2750.24
104.002 -115.674 2750.28
104.004 -115.691 2750.32
104.005 -115.711 2750.34
104.008 -115.699 2750.44
104.011 -115.696 2750.54
105 -115.792 2778
105.001 -115.754 2778.03
105.002 -115.758 2778.06
105.004 -115.768 2778.12
105.007 -115.8 2778.2
105.014 -115.76 2778.38
105.016 -115.758 2778.44
106 -115.849 2805.78
106.001 -115.858 2805.8
106.002 -115.832 2805.83
106.003 -115.856 2805.86
106.007 -115.837 2805.96
106.013 -115.833 2806.14
106.02 -115.863 2806.33
107 -115.944 2833.56
107.001 -115.945 2833.58
107.002 -115.92 2833.61
107.004 -115.956 2833.66
107.005 -115.953 2833.71
107.006 -115.921 2833.73
107.008 -115.958 2833.78
108 -116.042 2861.34
108.001 -115.988 2861.36
108.002 -116.019 2861.38
108.004 -116.046 2861.44
108.006 -116.008 2861.49
108.007 -116.005 2861.53
108.01 -116.02 2861.61
109 -116.126 2889.12
109.001 -116.106 2889.14
109.002 -116.125 2889.16
109.003 -116.104 2889.2
109.005 -116.132 2889.27
109.01 -116.112 2889.4
109.016 -116.113 2889.56
110 -116.174 2916.9
110.001 -116.211 2916.92
110.002 -116.182 2916.95
110.003 -116.246 2916.98
110.006 -116.173 2917.06
110.007 -116.176 2917.08
110.01 -116.224 2917.18
111 -116.285 2944.68
111.001 -116.276 2944.7
111.002 -116.296 2944.72
111.004 -116.28 2944.78
111.005 -116.277 2944.81
111.01 -116.278 2944.95
111.016 -116.283 2945.13
112 -116.353 2972.46
112.001 -116.355 2972.48
112.002 -116.355 2972.51
112.003 -116.359 2972.53
112.005 -116.361 2972.59
112.006 -116.355 2972.62
112.008 -116.352 2972.69
113 -116.445 3000.24
113.001 -116.434 3000.26
113.002 -116.427 3000.29
113.004 -116.457 3000.35
113.007 -116.424 3000.43
113.011 -116.443 3000.54
113.017 -116.44 3000.72
114 -116.521 3028.02
114.001 -116.511 3028.05
114.002 -116.553 3028.08
114.003 -116.539 3028.11
114.006 -116.535 3028.19
114.012 -116.515 3028.34
114.017 -116.541 3028.5
115 -116.593 3055.8
115.001 -116.568 3055.82
115.002 -116.588 3055.85
115.004 -116.598 3055.91
115.007 -116.565 3055.99
115.008 -116.613 3056.03
115.01 -116.604 3056.09
116 -116.692 3083.58
116.001 -116.674 3083.61
116.002 -116.724 3083.64
116.004 -116.657 3083.68
116.007 -116.682 3083.78
116.014 -116.705 3083.97
116.018 -116.649 3084.07
117 -116.751 3111.36
117.001 -116.758 3111.38
117.002 -116.749 3111.42
117.003 -116.767 3111.44
117.006 -116.726 3111.52
117.01 -116.769 3111.63
